City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Faanui,-16.48,-151.75,79.23,77,97,11.81,PF,1603589829
Las Vigas de Ramírez,19.63,-97.08,49.57,100,49,3.71,MX,1603590003
Ilulissat,69.22,-51.1,19.4,57,5,13.87,GL,1603589846
Clyde,41.3,-82.98,44.01,73,68,5.35,US,1603590007
Rikitea,-23.12,-134.97,74.89,81,99,20.58,PF,1603589724
Santiago,-33.46,-70.65,61.0,54,75,17.22,CL,1603589800
Bilibino,68.05,166.44,21.79,88,8,1.39,RU,1603589755
Yangi Marg`ilon,40.43,71.72,39.2,64,91,6.93,UZ,1603590016
Caohai,26.87,104.28,53.02,84,99,4.79,CN,1603590018
Los Chiles,11.03,-84.72,77.29,92,100,3.24,CR,1603590020
Albany,42.6,-73.97,46.99,68,61,4.0,US,1603589834
Ridgecrest,35.62,-117.67,66.0,53,0,15.99,US,1603590002
Chui,-33.7,-53.46,61.47,97,9,4.09,UY,1603589856
Mahibadhoo,3.78,72.97,82.0,80,72,12.33,MV,1603590028
Ribeira Grande,38.52,-28.7,66.07,78,100,14.14,PT,1603589850
Touros,-5.2,-35.46,77.0,88,40,3.36,BR,1603589883
Bredasdorp,-34.53,20.04,62.6,77,15,8.05,ZA,1603590035
Aleksandrov Gay,50.15,48.57,54.36,83,100,4.18,RU,1603590037
Leningradskiy,69.38,178.42,23.86,92,0,9.4,RU,1603589766
Ushuaia,-54.8,-68.3,44.6,70,75,12.75,AR,1603590041
Alice Springs,-23.7,133.88,69.8,30,0,12.75,AU,1603589892
Marawi,8.0,124.29,75.45,88,100,5.75,PH,1603589829
Kavieng,-2.57,150.8,84.61,68,47,2.95,PG,1603590047
Bonthe,7.53,-12.51,77.47,84,99,3.58,SL,1603590050
Mataura,-46.19,168.86,73.31,46,100,14.12,NZ,1603590052
São José da Coroa Grande,-8.9,-35.15,76.46,81,16,7.7,BR,1603590054
Lianran,24.92,102.48,66.0,87,0,11.18,CN,1603590056
Te Anau,-45.42,167.72,59.83,86,100,2.51,NZ,1603590058
Teya,60.38,92.63,25.36,96,99,4.52,RU,1603590060
